BernhardModern-Bold				351-400/352/rdb_____.afm
BernhardModern-Bold				900-960/904/rdb_____.afm
BernhardModern-BoldItalic				351-400/352/rdbi____.afm
BernhardModern-Italic				351-400/352/rdi_____.afm
BernhardModern-Roman				351-400/352/rdr_____.afm
BertholdScript-Medium				251-300/260/qrm_____.afm
BertholdScript-Regular				251-300/260/qrrg____.afm
BertholdScript-Regular				ai-fonts/qrrg____.afm
BiffoMT				251-300/289/ifscr___.afm
BiffoMT				900-960/903/ifscr___.afm
BiffoMT				valuepak/ifscr___.afm
Birch				151-200/160/bi______.afm
Birch				900-960/901/bi______.afm
Birch				wildtype/bi______.afm
Blackoak				151-200/160/bo______.afm
Blackoak				valuepak/bo______.afm
BlockBE-Condensed				301-350/325/lkc_____.afm
BlockBE-ExtraCn				301-350/325/lkec____.afm
BlockBE-ExtraCnIt				301-350/325/lkeci___.afm
BlockBE-Heavy				301-350/325/lkh_____.afm
BlockBE-Italic				301-350/325/lki_____.afm
BlockBE-Regular				301-350/325/lkrg____.afm
Bodoni				001-050/026/bd______.afm
Bodoni				900-960/960/bd______.afm
Bodoni-Bold				001-050/026/bdb_____.afm
Bodoni-BoldCondensed				101-150/118/bdbc____.afm
Bodoni-BoldItalic				001-050/026/bdbi____.afm
Bodoni-Book				101-150/118/bdw_____.afm
Bodoni-BookItalic				101-150/118/bdwi____.afm
Bodoni-Italic				001-050/026/bdi_____.afm
Bodoni-Italic				900-960/960/bdi_____.afm
Bodoni-Poster				001-050/026/bdps____.afm
Bodoni-Poster				900-960/960/bdps____.afm
Bodoni-Poster				typesets/bdps____.afm
Bodoni-PosterCompressed				101-150/118/bdpsc___.afm
Bodoni-PosterCompressed				900-960/905/bdpsc___.afm
Bodoni-PosterCompressed				valuepak/bdpsc___.afm
Bodoni-PosterItalic				101-150/118/bdpsi___.afm
BodoniBE-Bold				201-250/224/bpb_____.afm
BodoniBE-BoldCn				301-350/316/bpbc____.afm
BodoniBE-BoldCnItalic				301-350/316/bpbci___.afm
BodoniBE-BoldExp				251-300/268/bpbxp___.afm
BodoniBE-BoldItalic				201-250/224/bpbi____.afm
BodoniBE-BoldItalicExp				251-300/268/bpbix___.afm
BodoniBE-BoldItalicOsF				251-300/268/bpbio___.afm
BodoniBE-BoldOsF				251-300/268/bpbof___.afm
BodoniBE-CnItalic				301-350/316/bpci____.afm
BodoniBE-Condensed				301-350/316/bpc_____.afm
BodoniBE-Italic				201-250/224/bpi_____.afm
BodoniBE-ItalicExp				251-300/268/bpixp___.afm
BodoniBE-ItalicOsF				251-300/268/bpiof___.afm
BodoniBE-Light				201-250/224/bpl_____.afm
BodoniBE-LightExp				251-300/268/bplxp___.afm
BodoniBE-LightItalic				201-250/224/bpli____.afm
BodoniBE-LightItalicExp				251-300/268/bplix___.afm
BodoniBE-LightItalicOsF				251-300/268/bplio___.afm
BodoniBE-LightSC				251-300/268/bplsc___.afm
BodoniBE-Medium				201-250/224/bpm_____.afm
BodoniBE-MediumCn				301-350/316/bpmc____.afm
BodoniBE-MediumCnItalic				301-350/316/bpmci___.afm
BodoniBE-MediumExp				251-300/268/bpmxp___.afm
BodoniBE-MediumItalic				201-250/224/bpmi____.afm
BodoniBE-MediumItalicExp				251-300/268/bpmix___.afm
BodoniBE-MediumItalicOsF				251-300/268/bpmio___.afm
BodoniBE-MediumSC				251-300/268/bpmsc___.afm
BodoniBE-Regular				201-250/224/bprg____.afm
BodoniBE-RegularExp				251-300/268/bprgx___.afm
BodoniBE-RegularSC				251-300/268/bpsc____.afm
BodoniOldFaceBE-Bold				301-350/304/qvb_____.afm
BodoniOldFaceBE-BoldExp				301-350/310/qvbxp___.afm
BodoniOldFaceBE-BoldItalic				301-350/304/qvbi____.afm
BodoniOldFaceBE-BoldItExp				301-350/310/qvbix___.afm
BodoniOldFaceBE-BoldItOsF				301-350/310/qvbio___.afm
BodoniOldFaceBE-BoldOsF				301-350/310/qvbos___.afm
BodoniOldFaceBE-Italic				301-350/304/qvi_____.afm
BodoniOldFaceBE-ItalicExp				301-350/310/qvixp___.afm
BodoniOldFaceBE-ItalicSC				301-350/310/qvisc___.afm
BodoniOldFaceBE-Medium				301-350/304/qvm_____.afm
BodoniOldFaceBE-MediumExp				301-350/310/qvmxp___.afm
BodoniOldFaceBE-MediumItalic				301-350/304/qvmi____.afm
BodoniOldFaceBE-MediumItExp				301-350/310/qvmix___.afm
BodoniOldFaceBE-MediumItOsF				301-350/310/qvmio___.afm
BodoniOldFaceBE-MediumSC				301-350/310/qvmsc___.afm
BodoniOldFaceBE-Regular				301-350/304/qvrg____.afm
BodoniOldFaceBE-RegularExp				301-350/310/qvrgx___.afm
BodoniOldFaceBE-RegularSC				301-350/310/qvrsc___.afm
Bookman-Bold				101-150/146/bkb_____.afm
Bookman-Bold				900-960/950/bkb_____.afm
Bookman-BoldItalic				101-150/146/bkbi____.afm
Bookman-BoldItalic				900-960/950/bkbi____.afm
Bookman-Demi				001-050/002/bkd_____.afm
Bookman-Demi				900-960/902/bkd_____.afm
Bookman-Demi				900-960/950/bkd_____.afm
Bookman-Demi				base35/bkd_____.afm
Bookman-DemiItalic				001-050/002/bkdi____.afm
Bookman-DemiItalic				900-960/902/bkdi____.afm
Bookman-DemiItalic				900-960/950/bkdi____.afm
Bookman-DemiItalic				base35/bkdi____.afm
Bookman-Light				001-050/002/bkl_____.afm
Bookman-Light				900-960/902/bkl_____.afm
Bookman-Light				900-960/950/bkl_____.afm
Bookman-Light				base35/bkl_____.afm
